_id,cnpj,razao_social,nome_fantasia,cod_logradouro,nome_logradouro,numero_residencia,numero_lote,cod_bairro,nome_bairro,situacao_empresa,data_abertura_empresa,data_encerramento,cod_grupo,nome_grupo,cnae,desc_atividade,atividade_principal,atividade_vig_sanitaria,atividade_predominante,incomodo,latitude,longitude
1,03561119000121,ROTENO CONSTRUCOES LTDA,"",9342,Rua Azevedo Cruz,"",213      ,884,COHAB,INAPTO,1999-12-01T00:00:00,,1,CONSTRUCAO CIVIL,4313400,OBRAS DE TERRAPLENAGEM,S,N,S,N,,
2,03561119000121,ROTENO CONSTRUCOES LTDA,"",9342,Rua Azevedo Cruz,"",213      ,884,COHAB,INAPTO,1999-12-01T00:00:00,,1,CONSTRUCAO CIVIL,4330404,SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL,N,N,N,N,,
3,03561119000121,ROTENO CONSTRUCOES LTDA,"",9342,Rua Azevedo Cruz,"",213      ,884,COHAB,INAPTO,1999-12-01T00:00:00,,15,GUARDA E LOCACAO DE BENS MOVEIS,7732201,"ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXC ANDAIMES",N,N,N,N,,
4,00388321000105,CAMADA OLISI CONSTRUCOES LTDA,"",61620,Rua Tristão da Cunha,"",6        ,884,COHAB,BAIXADO,1995-01-01T00:00:00,2000-12-01T00:00:00,6,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",7415200,SEDES DE EMPRESAS E UNIDADES ADMINISTRATIVAS LOCAI,S,N,S,N,,
5,00388321000105,CAMADA OLISI CONSTRUCOES LTDA,"",61620,Rua Tristão da Cunha,"",6        ,884,COHAB,BAIXADO,1995-01-01T00:00:00,2000-12-01T00:00:00,1,CONSTRUCAO CIVIL,4120400,CONSTRUÇÃO DE EDIFÍCIOS,N,N,S,N,,
6,01428602000107,JOAO PEREIRA DOS SANTOS SERVICOS DE ALIMENTOS ME,JOAO PEREIRA DOS SANTOS SERVICOS DE ALIMENT,56707,Rua Raposo Tavares,"",41       ,884,COHAB,SUSPENSO,1996-09-01T00:00:00,,22,OUTROS SERVICOS,5620102,SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ,S,S,S,S,,
7,12271079000174,RODRIGO SILVESTRE DE SANTANA ME,CONSTRUTIVA,56707,Rua Raposo Tavares,"",50       ,884,COHAB,SUSPENSO,2010-07-20T00:00:00,,1,CONSTRUCAO CIVIL,4399102,MONTAGEM E DESMONTAGEM DE ANDAIMES E OUTRAS ESTRUTURAS TEMPORÁRIAS,N,N,S,N,,
8,12271079000174,RODRIGO SILVESTRE DE SANTANA ME,CONSTRUTIVA,56707,Rua Raposo Tavares,"",50       ,884,COHAB,SUSPENSO,2010-07-20T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4761003,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA,N,N,N,N,,
9,12271079000174,RODRIGO SILVESTRE DE SANTANA ME,CONSTRUTIVA,56707,Rua Raposo Tavares,"",50       ,884,COHAB,SUSPENSO,2010-07-20T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4744099,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,S,N,N,S,,
10,12271079000174,RODRIGO SILVESTRE DE SANTANA ME,CONSTRUTIVA,56707,Rua Raposo Tavares,"",50       ,884,COHAB,SUSPENSO,2010-07-20T00:00:00,,26,OUTRAS ATIVIDADES VAREJISTAS,4759899,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO DOMÉSTICO NÃO ESPECIF ANTERIORMENTE,N,N,N,N,,
